"Building","Date.of.Session","Name.of.Session","X..of.Hours","Possible.Hours","staff_id"
"SLMS",2015-08-24,"Skyward Training",2,4,"0e9801a778f1d2ba3880dc670ec4b833dcc52454dd9a898efc494df24c640898"
"CJH",2015-08-17,"Google Email Training",2,4,"581b9f96a0f395203c3921b23fa1d35a0924af64fdbed91dfe4fda57be0295aa"
"CJH",2015-09-01,"Tech/day open lab",1.25,10,"581b9f96a0f395203c3921b23fa1d35a0924af64fdbed91dfe4fda57be0295aa"
"ESC",2015-09-15,"Tech/day open lab",1,3,"76d6f8a7b0fa1b17af6ed107308a49fa13901fc30061c8916ccd261cbd852633"
"CJH",2016-02-23,"Counselor Training",1,1,"76d6f8a7b0fa1b17af6ed107308a49fa13901fc30061c8916ccd261cbd852633"
"ESC",2016-03-17,"Counselor Training",1,1,"76d6f8a7b0fa1b17af6ed107308a49fa13901fc30061c8916ccd261cbd852633"
"Discovery",2016-03-01,"Google Sheets Training",1,2,"c388e7323d71580994cc6ac8c07825f1dd23cf589bb0972d72eb14607bffa7ea"
"Discovery",2016-03-22,"Open Lab Training",1,3,"c388e7323d71580994cc6ac8c07825f1dd23cf589bb0972d72eb14607bffa7ea"
"FHS",2015-09-01,"Tech/day open lab",2,10,"78dc5bc2721e6375fa9c3dd20108449f7ae3c99e6f69e9bcecd98fc361d8ed83"
"FHS",2016-02-18,"Google Sheets Training",2,2,"78dc5bc2721e6375fa9c3dd20108449f7ae3c99e6f69e9bcecd98fc361d8ed83"
"FHS",2016-03-22,"Open Lab Training",2,3,"78dc5bc2721e6375fa9c3dd20108449f7ae3c99e6f69e9bcecd98fc361d8ed83"
"Discovery",2015-10-01,"Google Site Training",2,2,"7338c7d75e63ce14542aa1f903ac9d7d4a9a1c02e4b7c86ca6c8cd0c4ccf67f3"
"DIscovery",2016-03-31,"Google Docs/Website Training",2,2,"7338c7d75e63ce14542aa1f903ac9d7d4a9a1c02e4b7c86ca6c8cd0c4ccf67f3"
"FHS",2015-08-17,"Google Email Training",2,4,"cbb0e5fea7cc8220ad78e5051ae23f81f08a9717cb4f46c76d856ed13020d12f"
